long,lat
-122.085999,48.016305
-122.227947,47.565443
-122.561171,47.734395
-122.122018,47.678465
-122.379354,47.687571
-122.204248,47.719278
-122.010741,47.506838
-122.297534,47.685291
-122.028168,47.586173
-122.303604,47.716244
-122.399558,47.648651
-122.227947,47.565443
-122.599454,47.36582
-122.085999,48.016305
-122.148214,47.292978
-122.34619,47.615293
-122.275593,47.54055
-122.635794,47.630602
-122.724682,47.57271
-122.781876,47.089772
-122.188994,47.678406
-122.261321,47.390601
-122.151342,47.560192
-122.010741,47.506838
-122.313368,47.54411
-122.370709,47.801416
-122.321673,47.634289
-122.281856,47.811678
-122.042724,47.623594
-122.781876,47.089772
-122.343577,47.672491
-122.30251,47.488635
-122.221114,48.097872
-122.751179,47.002092
-122.296466,47.631708
-122.122018,47.678465
-121.92791,47.853585
-122.249664,47.497442
-122.957205,46.735025
-122.379354,47.687571
-122.227947,47.565443
-122.34619,47.615293
-122.227947,47.565443
-121.844616,47.592152
-122.028168,47.586173
-122.024951,47.670286
-122.195157,47.988773
-122.057522,47.749161
-122.590961,47.532193
-122.296466,47.631708
-122.143231,47.611666
-122.408498,45.620943
